     ksi;1.initialDensity;2.initialDensity;3.initialDensity;4.initialDensity;5.initialDensity;6.initialDensity;7.initialDensity;8.initialDensity;     tau;1.inputFlow;1.bunkerOutputFlow; 1.speed;2.inputFlow; 2.speed; 3.speed;4.inputFlow; 4.speed;5.inputFlow; 5.speed; 6.speed;6.connections.7;6.connections.8; 7.speed; 8.speed
 0.00000;         0.28452;         0.41667;         0.42678;         0.29167;         0.09763;         0.00000;         0.12204;         0.45833; 0.00000;    0.04882;           0.71651; 0.71651;    0.00000; 0.89563; 0.75000;    0.29167; 0.49612;    0.56904; 0.56698; 1.12500;        0.40000;        0.60000; 1.79125; 1.97040
 0.01000;         0.28816;         0.41626;         0.40936;         0.25511;         0.06366;         0.00664;         0.19341;         0.57232; 0.02000;    0.05645;           0.72393; 0.72393;    0.00164; 0.87392; 0.67973;    0.21913; 0.45362;    0.48466; 0.66543; 1.33207;        0.40000;        0.60000; 1.87281; 1.73116
 0.02000;         0.29169;         0.41502;         0.39052;         0.21913;         0.03633;         0.02633;         0.27553;         0.67914; 0.04000;    0.06452;           0.73047; 0.73047;    0.00655; 0.84827; 0.61195;    0.15115; 0.43760;    0.38548; 0.79662; 1.51006;        0.40000;        0.60000; 1.83581; 1.40380
 0.03000;         0.29509;         0.41298;         0.37044;         0.18430;         0.01631;         0.05838;         0.36444;         0.77208; 0.06000;    0.07299;           0.73609; 0.73609;    0.01463; 0.81911; 0.54906;    0.09201; 0.44906;    0.28119; 0.94773; 1.63397;        0.40000;        0.60000; 1.68731; 1.06933
 0.04000;         0.29836;         0.41012;         0.34929;         0.15115;         0.00410;         0.10164;         0.45588;         0.84532; 0.08000;    0.08183;           0.74079; 0.74079;    0.02577; 0.78688; 0.49329;    0.04540; 0.48728;    0.18200; 1.10395; 1.68639;        0.40000;        0.60000; 1.45557; 0.81047
 0.05000;         0.30150;         0.40647;         0.32725;         0.12023;         0.00000;         0.15458;         0.54542;         0.89423; 0.10000;    0.09100;           0.74454; 0.74454;    0.03979; 0.75211; 0.44662;    0.01428; 0.54986;    0.09763; 1.24999; 1.65997;        0.40000;        0.60000; 1.18470; 0.69127
 0.06000;         0.30451;         0.40204;         0.30454;         0.09201;         0.00410;         0.21533;         0.62877;         0.91576; 0.12000;    0.10048;           0.74732; 0.74732;    0.05646; 0.71532; 0.41069;    0.00058; 0.63288;    0.03633; 1.37157; 1.55841;        0.40000;        0.60000; 0.92626; 0.74121
 0.07000;         0.30739;         0.39684;         0.28133;         0.06693;         0.01631;         0.28174;         0.70189;         0.90855; 0.14000;    0.11021;           0.74912; 0.74912;    0.07554; 0.67712; 0.38678;    0.00517; 0.73110;    0.00410; 1.45677; 1.39599;        0.40000;        0.60000; 0.72944; 0.94795
 0.08000;         0.31012;         0.39090;         0.25785;         0.04540;         0.03633;         0.35145;         0.76128;         0.87305; 0.16000;    0.12017;           0.74995; 0.74995;    0.09670; 0.63809; 0.37574;    0.02776; 0.83837;    0.00410; 1.49726; 1.19550;        0.40000;        0.60000; 0.63171; 1.26033
 0.09000;         0.31272;         0.38423;         0.23430;         0.02776;         0.06366;         0.42200;         0.80407;         0.81148; 0.18000;    0.13031;           0.74978; 0.74978;    0.11963; 0.59885; 0.37796;    0.06693; 0.94794;    0.03633; 1.48908; 0.98511;        0.40000;        0.60000; 0.65167; 1.60108
 0.10000;         0.31517;         0.37688;         0.21089;         0.01428;         0.09763;         0.49088;         0.82820;         0.72773; 0.20000;    0.14059;           0.74863; 0.74863;    0.14395; 0.56003; 0.39335;    0.12023; 1.05293;    0.09763; 1.43302; 0.79437;        0.40000;        0.60000; 0.78552; 1.88590
 0.11000;         0.31747;         0.36886;         0.18783;         0.00517;         0.13740;         0.55566;         0.83251;         0.62706; 0.22000;    0.15098;           0.74650; 0.74650;    0.16930; 0.52223; 0.42138;    0.18430; 1.14674;    0.18200; 1.33457; 0.65007;        0.40000;        0.60000; 1.00778; 2.04433
 0.12000;         0.31963;         0.36020;         0.16532;         0.00058;         0.18200;         0.61403;         0.81679;         0.51578; 0.24000;    0.16143;           0.74339; 0.74339;    0.19525; 0.48605; 0.46106;    0.25511; 1.22347;    0.28119; 1.20338; 0.57246;        0.40000;        0.60000; 1.27615; 2.03718
 0.13000;         0.32163;         0.35095;         0.14356;         0.00058;         0.23033;         0.66394;         0.78179;         0.40089; 0.26000;    0.17190;           0.73933; 0.73933;    0.22141; 0.45207; 0.51097;    0.32822; 1.27831;    0.38548; 1.05227; 0.57246;        0.40000;        0.60000; 1.53954; 1.86621
 0.14000;         0.32348;         0.34113;         0.12274;         0.00517;         0.28119;         0.70362;         0.72921;         0.28961; 0.28000;    0.18235;           0.73432; 0.73432;    0.24737; 0.42081; 0.56934;    0.39904; 1.30780;    0.48466; 0.89605; 0.65007;        0.40000;        0.60000; 1.74782; 1.57372
